# Tujuan: Referensi price list Mustika Ratu hasil ekstraksi tabel PL_MR workbook lama.
# Caller: laporan_harian_principal._price_list.
# Dependensi: Power Query MUSTIKA RATU.
# Main Functions: Lookup harga GT dan MT per KODE BARANG.
# Side Effects: Tidak ada; dibaca read-only saat membangun laporan.
KODE BARANG,NAMA BARANG,HARGA JUAL GT SAT KECIL,HARGA JUAL GT SAT BESAR,HARGA JUAL MT SAT KECIL,HARGA JUAL MT SAT BESAR
39110060200000,"PC BODY BUTTER O.ZAITUN 96 PCSX200GR""1006067""PCB06",51711.7117,4964324.323,55855.8558,5362162.157
39130010200000,"PC BODY SCRUB JASMINE 96 PCSX200GR ""1006402""PCB08",47567.5675,4566486.48,51441.4414,4938378.374
39130020200000,"PC BODY SCRUB COFEE 96 PCSX200GR ""1006022""PCB09",47567.5675,4566486.48,51441.4414,4938378.374
39130050200000,"PC BODY SCRUB PEPAYA 96 PCSX200GR ""1006049""PCB12",47567.5675,4566486.48,51441.4414,4938378.374
39130060200000,"PC BODY SCRUB ZAITUN 96 PCSX200GR ""1006069""PCB13",47567.5675,4566486.48,51441.4414,4938378.374
39110060200000N,"PC BODY BUTTER O.ZAITUN 12 PCSX200GR""1006067""PCB06",51711.7117,620540.5404,55855.8558,670270.2696
39130020200000N,"PC BODY SCRUB COFEE 12 PCSX200GR ""1006022""PCB09",47567.5675,570810.81,51441.4414,617297.2968
39130060200000N,"PC BODY SCRUB ZAITUN 12 PCSX200GR ""1006069""PCB13",47567.5675,570810.81,51441.4414,617297.2968
39280010175000,"PC SHAMPO BAYAM 108BTLX175ML""1006003""1006727""PCS01",25405.405,2743783.74,27477.4774,2967567.559
39280020175000,"PC SHMP LANDEP 108BTLX175ML""1006056""1006728""PCS02",25405.4054,2743783.783,27477.4774,2967567.559
39280010175000N,"PC SHAMPOO BAYAM 12 BTLX175ML ""1006003""PCS01",25405.405,304864.86,27477.4774,329729.7288
39280040175000,"PC SHMP MERANG 108BTLX175ML""1006058""1006730""PCS04",25405.4054,2743783.783,27477.4774,2967567.559
39280050175000,"PC SHAMPOO WARU 108 BTLX175ML ""1006729""PCS05",25405.4054,2743783.783,27477.4774,2967567.559
39280030175000,"PC SHAMPOO TEH HIJAU 108 BTLX175ML ""1006736""PCS03",23783.7837,2568648.64,25675.6756,2772972.965
39110020200000,"PC BODY BUTTER KOPI 96 PCSX200GR ""1004604""PCB02",51711.7117,4964324.323,55855.8558,5362162.157
39130040200000,"PC BODY SCRUB ROSE 96 PCSX200GR ""1004867""PCB11",47387.3873,4549189.181,51261.2612,4921081.075
39331030100010,"RM LULUR S GADING 112BTLX100ML""1004762""1007253RM04",21171.1711,2371171.163,22882.8828,2562882.874
39331020100010,"RM LULUR SERUNI 112 BTLX100ML ""1004764""RM02",21171.1711,2371171.163,22882.8828,2562882.874
39331020200010,"RM LULUR SERUNI 108 BTLX200ML ""1004763""RM03",33063.063,3570810.804,35765.7657,3862702.696
39331030100011,"RM LULUR S GADING 30 BTLX100ML""1004762""RM04",21171.1711,423423.422,22882.8828,457657.656
39103070075020N,"PC HAIR TONIC P.RAMBUT 36 BTLX75ML ""1006051""PC07",20180.1801,726486.4836,21801.8018,784864.8648
39103070175020N,"PC HAIR TONIC P.RAMBUT 12 BTLX175ML ""1006052""PC08",33603.6036,403243.2432,36306.3063,435675.6756
39201000075000N,"PC MINYAK CEMCEMAN 36 BTLX75ML ""1005997""PCM09",22882.8828,823783.7808,24684.6846,888648.6456
39201000175000,"PC MINYAK CEMCEMAN 108 BTLX175ML ""1005998""PCM10",40180.1801,4339459.451,43423.4234,4689729.727
39201000175000N,"PC MINYAK CEMCEMAN 12 BTLX175ML ""1005998""PCM10",40180.1801,482162.1612,43423.4234,521081.0808
39103070175020,"PC HAIR TONIC P.RAMBUT 108 BTLX175ML ""1006052""PC08",33603.6036,3629189.189,36306.3063,3921081.08
39120060150000,"PC BODY LOTION ZAITUN 72 TUBEX150ML ""1005170""PCB07",23783.7837,1712432.426,25765.7657,1855135.13
39021010150010,"BENGKOANGB 2IN1 TONER 56 BTLX150ML ""1006703""BB02",25675.6756,1437837.834,27747.7477,1553873.871
39022030150000,"BENGKOANGB SERUM TONEUP 56 TUBEX150GR""1006700""BB03",26306.3063,1473153.153,28558.5585,1599279.276
