# Tujuan: Referensi Devisi item Reckitt hasil ekstraksi tabel RECKITT LIST workbook lama.
# Caller: laporan_harian_principal._reckitt_divisions.
# Dependensi: Power Query RECKITT.
# Main Functions: Lookup Devisi per Kode Brg.
# Side Effects: Tidak ada; dibaca read-only saat membangun laporan.
Kode Brg,Nama Barang,Satuan,Kelompok Brg,Devisi
20010010100010,"BW COOL 24BTL X 100ML""3185034""DBW101",BTL   ,DBW,RBI-HEALTH
20010010200030,"BW COOL 24PCH X 200ML""3204158""DBW201",PCH   ,DBW,RBI-HEALTH
20010010250030,"BW COOL 24PCH X 200ML""3180820""3295019""DBW301",PCH   ,DBW,RBI-HEALTH
20010010300010,"BW COOL 12BTL X 300ML""3171382""DBW401",BTL   ,DBW,RBI-HEALTH
20010010370031,"BW COOL 24 X 370ML PCH BDD""3317329""DBW1005",PCH   ,DBW,RBI-HEALTH
20010010370038,"BW COOL 24 X 370ML PCH +200G""3303401""DBW811",PCH   ,DBW,RBI-HEALTH
20010010410030,"BW COOL 24PCH X 370ML""3171385""3267943""DBW501",PCH   ,DBW,RBI-HEALTH
20010010410033,"BW COOL 24PCH X 410ML+250ML""3082236""DBW502",PCH   ,DBW,RBI-HEALTH
20010010410034,"BW COOL 24PCH X 410ML+410ML""3243426""DBW503",PCH   ,DBW,RBI-HEALTH
20010010410035,"BW COOL 24PCH X 410ML+HS200""3187501""DBW504",PCH   ,DBW,RBI-HEALTH
20010010625040,"BW COOL 12 PUMP X 500GR""3171386""3289668""DBW701",PUMP  ,DBW,RBI-HEALTH
20010010625042,"BW COOL 12 X 500ML PUMP +370G""3303749""DBW708",PUMP  ,DBW,RBI-HEALTH
20010010800030,"BW COOL 12PCH X 800ML""3171387""DBW801",PCH   ,DBW,RBI-HEALTH
20010010800039,"BW COOL 6 PCH X 800ML BANDED""3288190""DBW805",PCS   ,DBW,RBI-HEALTH
20010020250030,"BW LASTING 24PCH X 200ML""3062066""DBW302",PCH   ,DBW,RBI-HEALTH
20010020300010,"BW LASTING 12BTL X 300ML""3062065""DBW402",BTL   ,DBW,RBI-HEALTH
20010020370031,"BW LASTING 24 X 370ML PCH BDD""3317333""DBW1002",PCH   ,DBW,RBI-HEALTH
20010020370038,"BW LASTING 24 X 370ML PCH+200""3303400""DBW808",PCH   ,DBW,RBI-HEALTH
20010020410030,"BW LASTING 24PCHX410/370ML ""3072197""3267941""DBW505",PCH   ,DBW,RBI-HEALTH
20010020410033,"BW LASTING 24PCH X 410ML+250ML""3082237""DBW506",PCH   ,DBW,RBI-HEALTH
20010020410034,"BW LASTING 24PCH X 410ML+410ML""3243450""DBW507",PCH   ,DBW,RBI-HEALTH
20010020410035,"BW LASTING 24PCH X 410ML+HS200""3187506""DBW508",PCH   ,DBW,RBI-HEALTH
20010020610030,"BW LASTING 24PCH X 610ML""3040405""DBW601",PCH   ,DBW,RBI-HEALTH
20010020800030,"BW LASTING 12PCH X 750ML""3207910""3278297""DBW802",PCH   ,DBW,RBI-HEALTH
20010030410030,"BW HONEY 24 PCHX410ML/370ML""3073462""3267944""DBW509",PCH   ,DBW,RBI-HEALTH
20010030410034,"BW HONEY 24PCH X 410ML+410ML""3229985""DBW510",PCH   ,DBW,RBI-HEALTH
20010030950010,"BW HONEY 12BTL X 950ML""3107980""DBW901",BTL   ,DBW,RBI-HEALTH
20010040100010,"BW FRESH 24BTL X 100ML""3167498""DBW102",BTL   ,DBW,RBI-HEALTH
20010040250030,"BW FRESH 24PCH X 200ML""3167502""3278508""DBW303",PCH   ,DBW,RBI-HEALTH
20010040300010,"BW FRESH 12BTL X 300ML""3167499""DBW403",BTL   ,DBW,RBI-HEALTH
20010040370038,"BW FRESH 24 X 370ML PCH BDD""3303402""3317330""DBW807",PCH   ,DBW,RBI-HEALTH
20010040410030,"BW FRSH 24PCH X 410ML/370ML""3172265""3267946""DBW511",PCH   ,DBW,RBI-HEALTH
